,Title,Date,Project Center,Location,Subject Terms,Link,Alternative Link,Advisors,Initials,Notes,Link to summary,Goal,Stakeholders,Impact,Headline,Follow-up,Category,Sub_Category
0,A Follow Up Study On The Class Of 1990?,01-01-06,On-campus,WPI,Women In Engineering | Personality And Intelligence,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832790204746&docid=alma9936832790204746&lang=en,https://web.wpi.edu/Pubs/E-project/Scanned/06D284I.pdf,"Wilkes, John  M.",CS,"""Cognitive gender study""",https://docs.google.com/document/d/1XnKmfFaRIahoPgMG0PjSDNut1dVaHgXHTR7cMJaTQK4/edit?usp=sharing,Test the theory of gender and cognitive type as described in GCSI literature (people of a certain cognitive type have more/less success than in work force of different fields),WPI alumni,"Due to problems with data management, no results were presented. Information was available from the class of 2002, and it was suggested that their information be kept up to date so they could be studied in the future",Gender and cognitive components of success,,Education,Education at WPI
1,First Year Experience For Class Of 2003.,Jan-01,On-campus,WPI,Personality And Intelligence,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832833104746&docid=alma9936832833104746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4557&context=iqp-all,"Wilkes, John M.",CS,Gender was just one component of the analysis,https://docs.google.com/document/d/1ULaTEQHhyxsAFxwCiTzwhewPiy4Y7uZQRYzQU1c6ALM/edit?usp=sharing,To assess the class of 2003 based on their GCSI and MBTI data and score them in groups to compare cognitive types,"WPI class of 2003, WPI",Answered questions about science and engineering; had two meetings a week- one was general and the other focused on a specific grade level. Was not committed to involving girls,Gender components of first year experience at WPI,,Education,Education at WPI
2,Change In Academic Motivation At Wpi,10/24/2011,On-campus,"Worcester, MA","Women In Engineering | Education, Higher",https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832840304746&docid=alma9936832840304746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-102411-105403/unrestricted/Change_in_Academic_Motivation_at_WPI.pdf,"Heinricher, Arthur C.",CS,,https://docs.google.com/document/d/1Hb0nE6hjI-wyUX3QYxk_7pzoLYtX83jyKOFwW-0dL38/edit?usp=sharing,To explore motivation in education and examine its change in first year students at WPI,WPI students and WPI as a whole,"There was a weak relationship between gender and academic motivation, but there was a relationship between how students viewed faculty and their academic motivation",Gender related changes in academic motivation,,Education,Education at WPI
3,Affects Of The Wpi Society On Students Over Time.,01-01-01,On-campus,"Worcester, Massachusetts",Women In Engineering |women Engineers--education | Women--social Conditions,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832806104746&docid=alma9936832806104746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/01E018I.pdf,"Dunn, Patrick P.",CS,More of a research study- no recommendations presented,https://docs.google.com/document/d/1BaPD3CfcK5ocqwrVvC1zf3SxB14RRPXBX7VsAy6nbxU/edit?usp=sharing,"To give information about the flaws in the WPI society that can be fixed; identify major changes students go through and, by comparing to changes at Assumption College, identify problem areas",Students at WPI and Assumption college,Developed and tested a series of workshops for WPI Camp REACH alumni- helps retain interest in STEM,Negative perceptions? Social pressures of female WPI students,Possible IQP- redo survey,Education,Education at WPI
4,Social Programming At Worcester Polytechnic Institute,01-01-06,On-campus,"Worcester, MA","Women--violence Against| Education, Higher | Community Development | Mental Health",https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832765004746&docid=alma9936832765004746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/06D267I.pdf,"Hakim, Hossein",AN,Gender was just one component of the analysis,https://docs.google.com/document/d/1TvbqfjV2A2w7UYC7px-D06THea6PZ67ZbS0TsC0DKAI/edit?usp=sharing,To improve the understanding of student life at WPI and identify the needs of the students,"WPI, WPI students, Student Government Association (SGA)",Found that a large percentage of students aren't socially confident in themselves,Programming to improve mental and social well-being of WPI students,,Education,Education at WPI
5,Acute And Chronic Stressor Mechanisms In Health Disparities,3/24/2017,On-campus,"Worcester, Massachusetts",Women In Engineering | Women In Science | Women--social Conditions | Equality--social Aspects | Mental Health,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832607704746&docid=alma9936832607704746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-032417-141744/unrestricted/MICRO_IQP_SUBMIT.pdf,"O'Brien, Kymberlee M.",CS,"Focused mainly on racial microaggressions, but related them to gender",https://docs.google.com/document/d/12ArvPjfY1KpCbF6PvXvwHOuMk4ZPpid76jw30qEky1w/edit?usp=sharing,To evaluate the impact and frequency of microaggressions,"Minority groups (women, racial minorities)","Revealed the state of microaggressions at WPI- females self-reported the most microaggressions and daily discrimination. Seniors experienced the most microaggressions, and people of a perceived higher social standing did not have a strong response to microaggressions. ",gender and racial microaggressions at WPI?,,Education,Education at WPI
6,An Investigation Of Linguistic Complexity By Sex And Minority Status Under Stress,7/31/2018,On-campus,"Worcester, MA",Minorities | Women--social Conditions,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936849607204746&docid=alma9936849607204746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-073118-115008/unrestricted/An_Investigation_of_Linguistic_Complexity__by_Sex_and_Minority_Status_Under_Stress.pdf,"Skorinko, Jeanine L. | O'Brien, Kymberlee",CS,,https://docs.google.com/document/d/1il0lmwBTUmuHnSAqo6VmYGN9LhOW9WZ7AXbORO47XhI/edit?usp=sharing,"To determine if the speech between men, women, and minorities is different under stress; to determine if these differences are found between speaking and self-reported experiences",WPI students,"Content words- females higher in categories of friend, female, sexual, archive, and reward; males higher in clout and words per second","How stress affects speech between women, men, and minorities",,Education,Education at WPI
7,An Analysis Of The Effectiveness Of Bridging Of Fundamental Courses In The First Year,Jan-00,On-campus,WPI,Science--study And Teaching | Project Method In Teaching,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832801904746&docid=alma9936832801904746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4873&context=iqp-all,"Miller, Judith E. | Goulet, John A.",CS,"More focused on students overall, but did mention some results by gender",https://docs.google.com/document/d/1u9Jlu7ygi6Yj4RSxD1DI1kg08odafYU6RP8NZW7aM9E/edit?usp=sharing,"To assess the effectiveness of the ""bridging model"" based on students' performance in courses and change in students' attitudes towards engineering and science","WPI students, WPI professors","The survey results demonstrated increases in bridged students' self-confidence in their problem solving abilities, and basic engineering knowledge and skills",Gender components of the bridging model,,Education,Education at WPI
8,Six Degrees Of Wpi,Jan-02,On-campus,WPI,"Education, Higher",https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832776204746&docid=alma9936832776204746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=5597&context=iqp-all,"Fisler, Kathryn | Selkow, Stanley | Schull, Jon",CS,"Project tried to examination correlation between gender and amount of emails sent, but there was no relation",https://docs.google.com/document/d/1ZXtHONqDd3eQBHqV63FKO4BvVQznK3ZYf6zgzw2Yy74/edit?usp=sharing,To examine the properties of social networks in the WPI community and attempts to provide answers or more information on issues that are important to providing for such a network at the WPI community,Students and faculty/staff at WPI,No correlation was found between the amount of emails and gender ratios,Social networks at WPI,,Education,Education at WPI
9,The Effect Of Instructor Gender And Student Gender On Course Evaluations,01-01-99,On-campus,"Worcester, MA",Women In Science,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832823204746&docid=alma9936832823204746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/99B002I.pdf,"Miller, Judith E.| Ruiz, Carolina",AN,Very outdated recommendations- show the double standard of women in the workplace,https://docs.google.com/document/d/1S_zILe43A0vGLiDH51udFQcKUadpQMl0OFvNau9w_vk/edit?usp=sharing,To determine the effects of instructor gender and student gender on student evaluations of the professors at Worcester Polytechnic Institute,WPI professors,The results seemed to show that female professors received lower ratings than male professors and female professors receive their highest ratings from female students and their lowest ratings from male students- but sample size was too small to draw a definite conclusion,The effect of instructor and student gender on course evaluations,Redo study (PLEASE),Education,Education at WPI
10,Coeducational Living In On-campus Suites And Apartments.,01-01-04,On-campus,WPI,Women|mental Health | Community Development,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832893404746&docid=alma9936832893404746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/04C024I.pdf,"Addison, W. A. | Clay, Philip",CS,,https://docs.google.com/document/d/1uS-AbzzH5HRtiDxFp_gaGCkzL0e_ufhSWbaGRb6dpD0/edit?usp=sharing,To argue that coeducational housing on-campus should be an option for interested students,WPI students,Women seemed to favor co-ed housing as lower stress than living with all females,Coed living at WPI,,Education,Education at WPI
11,Alternate Reality Game For Wpi Admissions.,01-01-07,On-campus,"Worcester, MA",Virtual Reality |marketing | Women In Engineering,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832962504746&docid=alma9936832962504746&lang=en,https://web.wpi.edu/Pubs/E-project/Scanned/07E037I/07E037I.pdf,"O'Donnell, Dean M.",CS,"Abstract mentions boosting number of women enrolling at WPI, but no specific data is mentioned in the paper",https://docs.google.com/document/d/1qJ34VeIq6MU4WTtPNS7jLNOb5oOf8a8IwCMukw6NSB4/edit?usp=sharing,Create a successful and fun alternate reality game; help WPI Admissions increase number of admitted students who decide to attend WPI; bring attention to IMGD program,"WPI Admissions, students admitted to WPI class of 2011","The game was not very successful as a marketing tool (only 500 visitors to the site)- more marketing should be done in order to obtain more visitors. The goal mentioned increasing the number of females at WPI, but did not present any specific data on this.",Attracting female students to WPI through AR games,,Education,Education at WPI
12,Attracting And Retaining Women In Ece.,01-01-00,On-campus,WPI,Women In Engineering | Women Engineers--education,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832868604746&docid=alma9936832868604746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/00E013I.pdf,"Nicoletti, Denise W.",CS,,https://docs.google.com/document/d/1op1HOBrsRw-YcKYhSj-spt0tRDxuwZzwo5ZOs7R9ezs/edit?usp=sharing,Examine underrepresentation of women in ECE and why it is a problem; determine if changing or creating the department’s marketing strategies will have a positive impact on women who choose ECE as a major,"ECE students, ECE department, WPI as an organization","In order to increase the number of females enrolled in ECE, tour guides should convey general information when outside Atwater Kent, information packages targeted at young women should be developed, undeclared majors should be assigned academic advisors in ECE, and the number of ECE faculty should be increased",Gender components of ECE education at WPI,Might be interesting to redo and see if the type of problem has changed,Education,Education at WPI
13,Computer Science Experience At Wpi,Apr-17,On-campus,WPI,"Science--study And Teaching | Women In Science | Education, Higher",https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832582504746&docid=alma9936832582504746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=3914&context=iqp-all,"Wills, Craig E.",CS,"Not specifically focused on women, but does mention results by gender",https://docs.google.com/document/d/1rOZWftrvjGSijIdlDqEYIctqmvqUF6BYZIqHELmTrcw/edit?usp=sharing,"To determine how demographic, experience, and confidence affects computer science students at WPI","Students at WPI- mainly computer science students, but also related majors",Males had more confidence than females overall- especially prior to college,Gender components of CS education at WPI,,Education,Education at WPI
14,Attraction And Retention Of Women In Computer Science At Worcester Polytechnic Institute,03-02-17,On-campus,WPI,Women In Science | Women--education--science,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832587004746&docid=alma9936832587004746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-030217-110352/unrestricted/IQP_Report.pdf,"Fisler, Kathryn",CS,,https://docs.google.com/document/d/1nhf_nxN_GZy2OtUL_XyjDTO_p4_gy-BW8A1rwPCTXYg/edit?usp=sharing,To help the Computer Science Department at Worcester Polytechnic Institute understand the underlying reasons why female students are underrepresented in the department,"CS students, CS faculty, CS department","Gave recommendations for CS students, faculty, and department in order to increase student-student and student-faculty interactions, increase number of work areas for students, and increase academic advisors' connects with students",Gender components of CS education at WPI,,Education,Education at WPI
63,Health And Technology In Rowing: A Healthier Process Of Making Weight For The Lightweight Rower,01-01-00,On-campus,"Worcester, MA",Mental Health|women--health,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832912404746&docid=alma9936832912404746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/00A011I.pdf,"Brown, Christopher A.",CS,,https://docs.google.com/document/d/16S0aqgdZ8myCVqOBfbRHRI7bEu9IVP-yxnsjLI3hhBU/edit?usp=sharing,To understand the issues surrounding weight loss in rowing and suggest recommendations for making weight healthier for lightweight athletes,"Women on college rowing teams, coaches of rowing teams",Found that women on college rowing teams were more concerned with making weight than the health effects of it; many athletes did not know about long term health risks of making weight,Health risks of making weight in rowing,,Health,Athletics
64,Health And Technology In Rowing -- An Assessment Of Coaches' Knowledge Of The Healthy Limits Of Women.,01-01-02,On-campus,"Worcester, MA",Mental Health|women--health,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832887004746&docid=alma9936832887004746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/02D108I.pdf,"Brown, Christopher A.",CS,,https://docs.google.com/document/d/1EubdI9CPJEV5qRV3bTaSmyi1l77lhLU7knqNS6231vk/edit?usp=sharing,To determine whether or not coaches have realistic opinions about the limits of a woman’s body in the context of becoming a lightweight rower,"Coaches of lightweight women, lightweight women rowers","Revealed that coaches often thought other lightweight rowers were too thin, but did not as often consider this about their own athletes",Coaches' perceptions of making weight in rowing,,Health,Athletics
65,Human Interactions And Decision-making In Recreational Avalanche Environments,Jan-02,On-campus,"Worcester, MA",Risk Management,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832913104746&docid=alma9936832913104746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=5200&context=iqp-all,"Theyel, Gregory | Davis, Paul W.",CS,"Speculations about why women might be involved in less avalanche-related deaths, but nothing concrete",https://docs.google.com/document/d/1FWaQMoQXBmTO_S5JgPVjaPOHdi8ic9UATtDgNr9NNvU/edit?usp=sharing,To help reduce the number of avalanche deaths by studying the decision-making processes of individuals recreating in alpine environments,Skiers,Women are less likely to die in avalanches while participating in alpine recreation,Gender related components of avalanche related deaths,,Health,Athletics
53,Enhancing The Mentor Network At Voces Vitales Costa Rica,05-06-15,"San Jose, Costa Rica","San Jose, Costa Rica",Women--social Conditions,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832975804746&docid=alma9936832975804746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-050615-015232/unrestricted/Enhancing_the_Mentor_Network_at_Voces_Vitales_Costa_Rica.pdf,"Madan, Aarti S.| Madan, Ryan S.",CS,Vital Voices helps women who are victims of domestic abuse,https://docs.google.com/document/d/1o5gNCK622kOArgEc_pKm_XF95fqFJgNnLEmDodko3bg/edit?usp=sharing,To understand and evaluate the preexisting mentor network and analyze the best practices for networking for Vital Voices,"Voces Vitales (VVCR), mentors at VVCR",Recommendations were made to help develop the mentor network at VVCR,Mentor networks for domestic violence victims in Costa Rica,,Health,Domestic Violence
54,Helping Vital Voices Impact More Women: Developing An Online Mentoring Platform,03-01-18,"San Jose, Costa Rica","San Jose, Costa Rica",Women|websites--design And Construction,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832969004746&docid=alma9936832969004746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-030118-111932/unrestricted/VVCR_IQP_FinalReport_SanJose2018.pdf,"Chiarelli, James A.| McCauley, Stephen M.",CS,Website screenshots: https://drive.google.com/drive/folders/1lXF0LUAUBUf3O5vIsooryPiaWNUr8BtH ,https://docs.google.com/document/d/18Y84z8dx4mA2WEKn6zPwNhD2LHWwzjBqVkWYBwJbpkU/edit?usp=sharing,To help Vital Voices Costa Rica (VVCR) impact more women,Voces Vitales and the women they work with,Created mockups for web platforms and an implementation guide for Voces Vitales so they could have a better mentor network,Online mentoring for domestic violence victims in Costa Rica,,Health,Domestic Violence
55,"Permaculture Design Plan For María Amor Foundation, Cuenca Ecuador",12-12-18,"Cuenca, Ecuador","Cuenca, Ecuador",City Planning|agriculture|sustainable Development,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936861986504746&docid=alma9936861986504746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-121218-181752/unrestricted/Report.pdf,"Selkow, Stanley M.",AN,The María Amor foundation is a women's shelter for domestic abuse victims. Additional media located at: https://web.wpi.edu/Pubs/E-project/Available/E-project-121218-181752/unrestricted/Master_Plan.pdf and https://web.wpi.edu/Pubs/E-project/Available/E-project-121218-181752/unrestricted/Deliverable.pdf,https://docs.google.com/document/d/1gabfstD-_FPBJrYg8cG71XhpdtJb9yf_XPiZD4fOsPA/edit?usp=sharing,To design an integrated land-use plan to provide food for internal use as well as to sell,Women and their children who are victims of domestic abuse,"Developed a landscape design that includes values of permaculture to create the most practical land use plan for the María Amor foundation; also takes into account existing landscape features and buildings to layout an achievable, sustainable and functional farm","Permaculture for DV victims in Cuenca, Ecuador",,Health,Domestic Violence
56,Preventing Violence Against Women: Training Resources To Empower The Broadmeadows Community,05-02-16,"Melbourne, Australia","Melbourne, Australia",Family Violence|equality--social Aspects,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936833025404746&docid=alma9936833025404746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-050216-071211/unrestricted/Banksia-D16-Final-Report.pdf,"Ault, Holly K.| Hanlan, James P.",AN,,https://docs.google.com/document/d/1Zj2hC4tuE0K2AKEMKwj_ysgpAbooIulBySgxk86PdTw/edit?usp=sharing,To create and develop training resources to educate and empower the community to prevent violence against women,"Banskia Gardens Community Services, members of the Broadmeadows community",Findings were used to develop Good People Act Now training resources and design the Good Children Act Now program to help stop violence against women,Training resources to prevent DV in Australia,,Health,Domestic Violence
57,Violence Against Women: Using Interactive Performance To Inspire Change,12-11-16,"Melbourne, Australia","Hume, Australia",Women--violence Against | Community Development | Websites--design And Construction,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936833147904746&docid=alma9936833147904746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-121116-054155/unrestricted/Banksia_Booklet_FINAL.pdf,"Higgins, Lorraine D.| Ottmar, Erin R.",AN,Visually pleasing report,https://docs.google.com/document/d/1yx7mKxTergx7rkmog44a03ULT1zctijsUYUaJW6fSvc/edit?usp=sharing,"To assist GPAN (Good People Act Now) in its violence prevention work, particularly cyber abuse against women","GPAN, women in the area",Raised awareness about abuse of women by targeting youth; also produced infographics and pamphlets and updated the GPAN website,Preventing cyber abuse against women in Australia,,Health,Domestic Violence
58,Fund Raising Methods,4/22/2009,On-campus,"Worcester, MA",Fund Raising|women,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832580004746&docid=alma9936832580004746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-042209-122413/unrestricted/Fund_Raising_Methods.pdf,"Hakim, Hossein",CS,,https://docs.google.com/document/d/1ENWsABbRoq0Ham4LgjYJH2h-7ni5R0dRjas1P8WjSlg/edit?usp=sharing,"Study women’s issues such as drug abuse, homelessness, domestic abuse, and poverty; recommend new approach and help fundraise for women at Abby’s House","Abby’s House, women at Abby’s House",Evaluated different methods of fundraising and found that asking for help from large companies was the most effective,Fundraising methods for Abby's House,,Health,Homelessness
59,Fundraising For Homeless Women And Children,3/13/2012,On-campus,"Worcester, MA",Fund Raising|women--social Conditions,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832858804746&docid=alma9936832858804746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-031312-161000/unrestricted/IQP_REPORT.pdf,"Hakim, Hossein",CS,,https://docs.google.com/document/d/1POTUik6TiZN-kLzXzHWzfRS_KUIraTIFCXcHzQeINNI/edit?usp=sharing,"To understand homelessness, to collect monetary aid and essential goods for Abby's House, to raise awareness in the WPI community about homelessness","Abby’s House, women at Abby’s House, people in the WPI community","Found that fundraising could be improved by more advertising, longer fundraising periods, and expanding the audience",Fundraising methods for Abby's House,,Health,Homelessness
66,Internet Abuse In The Workplace.,01-01-03,On-campus,"Worcester, MA",Women Employees | Women--social Conditions,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832909604746&docid=alma9936832909604746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/03E016I.pdf,"Elmes, Michael B.",AN,,https://docs.google.com/document/d/1fgT3StUgH2ys2dGgvUIMobthi7L4xKD9nz3BR12g8Jo/edit?usp=sharing,The purpose and focus of this study is to research more effective means of managing the internet in the workplace to prevent employee abuse while being aware of the ethical and professional responsibilities of the employer,Employees and employers,"Found that there is an obvious need for enhanced management techniques that not only detect and report Internet abuse but aid in preventing it as well
",Preventing internet abuse in the workplace,,Health,No Sub-Category
67,Mitigating Noxious Gases Produced By Traditional Cooking Methods,05-01-16,"Mandi, India","Mandi, India",Air--pollution|public Health|community Development,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936833130804746&docid=alma9936833130804746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-050116-231501/unrestricted/Mitigating_Noxious_Gases.pdf,"McCauley, Stephen M.| Shockey, Ingrid K.",AN,This project specifically affects women because of the cooking they do using the stoves; report is visually pleasing,https://docs.google.com/document/d/187K-7IQxCo18qJwzOZg4QFQDDmoHSgEeCMz_yojC78Q/edit?usp=sharing,To mitigate the gas production caused by this fuel and to alleviate the negative health effects,Rural village residents in Himachal Pradesh,Traditional stoves cause exposure to noxious gases- new prototype developed should prevent this. Women were impacted because they do most of the cooking,Prototyping stoves to prevent noxious gases,,Health,No Sub-Category
68,The Zimri Project: Running Water And Bathroom Facilities For A Rural Moroccan School,10/28/2008,"Rabat, Morocco","Zimri, Morocco",Women--social Conditions | Community Development | Women--effect Of Technological Innovations On,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832866804746&docid=alma9936832866804746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-102808-180401/unrestricted/ZimriProjectReport.pdf,"Addison, W. A.| El-Korchi, Tahar",AN,"No direct connection could be drawn between having private bathroom facilities and increasing the number of girls enrolled at schools, but that was the hope for developing the recommendations for the private bathroom",https://docs.google.com/document/d/1YgjIk8kH9X_SiHb3yhiBbitxPv9DxGUi93x1Sxc193E/edit?usp=sharing,"To develop a plan for bringing running water to a school in Zimri, Morocco and for building an enclosed bathroom facility",Schoolchildren in Zimri,The findings from the research pointed to the conclusion that a solar powered pumping system along with a compost toilet would work best for the conditions of the Zimri village. The hope is that having an enclosed bathroom facility would allow girls to come to school again,Water in schools to encourage girls' education in Morocco,"See if long term plans were put into place- if not, see how it could be facilitated",Health,No Sub-Category
